fwy,dir,sta_from,sta_to,mid_x,mid_y,speed_pm_mph,vol_day_veh,cell_euclidean,cell_weighted
10,E,716057,717039,-6350.116059951901,-3322.4395496433726,47.32912233233728,111813.5,8,8
10,E,717039,737184,-5664.814117768935,-3328.6178096431977,43.23102131683648,112468.0,8,9
10,E,737184,717042,-5203.273887582924,-3335.575309643429,41.54017308851283,100086.5,8,9
10,E,717042,718335,-4788.2104358218,-3338.135669643292,37.303910415081916,117069.0,8,9
10,E,718335,717046,-4307.489312953345,-3336.9668096430796,31.806316954029725,130494.5,8,9
10,E,717046,759385,-4073.9527229542373,-3324.3319896433404,32.96390818128195,108142.5,8,51
10,E,759385,764026,-3876.4725225660777,-3291.7152296434283,38.39226750277692,92813.5,8,51
10,E,764026,759280,-3427.1969977980734,-3234.441089643283,54.23701004183934,50439.5,9,51
10,E,759280,718419,-3001.989804714244,-3214.069529643303,66.50676852628658,10217.0,9,51
10,E,718419,763453,-2335.9609710450068,-3598.513149643204,66.49192799070848,10223.0,9,51
10,E,763453,718421,-1445.4788066513875,-4137.0236496432835,67.97724036666226,31370.0,9,16
10,E,718421,763458,-704.3401792782313,-4553.972709643378,69.46255274261604,52517.0,9,16
10,E,763458,737158,155.29578991042484,-4648.761689643328,69.46255274261604,52517.0,16,16
10,E,737158,737313,720.2099657581803,-4425.899049643223,64.38745530731931,52188.0,16,16
10,E,737313,737320,1313.111646073839,-2899.0339296433644,62.139476091699905,57894.0,16,47
10,E,737320,716028,2011.6926678064915,-1367.8829896436487,65.84230244532867,49363.5,47,47
10,E,716028,716067,2477.70536575673,-1314.783349643642,61.87086150711908,40714.0,47,47
10,E,716067,716069,2861.369327332391,-1390.536609643404,62.894484070156594,49570.5,45,47
10,E,716069,716072,3247.7997638144825,-1428.9976696431938,65.51263013900153,85163.5,45,47
10,E,716072,717059,3682.5512953248744,-1351.7972496431305,65.19494622320104,113151.5,45,47
10,E,717059,716075,4180.009591376218,-1285.2278896431196,66.49326110245433,112119.5,45,45
10,E,716075,716078,4775.308883277101,-1280.1071696433926,63.20590404639596,123882.0,45,45
10,E,716078,765098,5526.406820312359,-1069.3784096435002,62.94418075439481,107154.5,27,45
10,E,765098,716081,6054.7113115680095,-809.2235696434221,62.36905009796271,84509.5,27,45
10,E,716081,737344,6324.212075348092,-682.6527296434284,60.4102141971129,86353.0,27,45
10,E,737344,717070,6654.805826639338,-609.2928496435559,62.229028577121895,93118.0,27,45
10,E,717070,716085,7025.974543222059,-578.5685296436117,64.26167512438421,98596.5,27,45
10,E,716085,716087,7567.788653602987,-322.25422964332904,64.43510624082991,107256.5,27,45
10,E,716087,765451,8155.572355341979,71.54027035669245,62.54994081480103,113210.0,27,27
10,E,765451,716092,8790.57056214696,370.37881035639344,60.68334059771913,109931.0,27,27
10,E,716092,717077,9463.792230572524,500.734530356323,60.75281650714071,103674.5,27,27
10,E,717077,717075,9839.756170326345,505.799590356586,60.55143775392996,96079.5,27,27
10,E,717075,717089,10356.53368280575,511.5325703567447,60.83531632298376,98878.5,27,27
10,E,717089,717083,10879.351332163527,518.1004503567729,59.04680374886058,95758.5,27,27
10,E,717083,717084,11191.363593668473,525.6702103566445,56.69564843030255,100417.5,27,27
10,E,717084,717093,11784.311381899119,537.0805103567069,54.22428562502549,113480.5,27,27
10,E,717093,717097,12224.411431561766,542.9804703568395,52.6705175790429,108965.5,27,27
10,E,717097,717105,12617.15865241281,546.6540303566609,52.307877524967665,113735.0,27,27
10,E,717105,717110,13034.481392014197,551.4407903564401,51.63761905662197,105808.5,27,27
10,E,717110,717114,13444.56518894427,557.1737703565988,53.828957162958346,96232.5,27,27
10,E,717114,718445,13846.53399281631,562.4058103568358,54.349427464898994,105393.5,27,27
10,E,718445,717123,14280.640013515573,568.5840703566612,53.660728956589594,99274.5,41,27
10,E,717123,717127,15004.211525234108,580.3283303566714,56.15567865942672,97237.0,41,27
10,E,717127,717131,15510.891404305796,588.0094103566574,59.95613069956477,97918.5,41,41
10,E,717131,717133,15776.841858622702,589.9575103564848,62.79170148516817,97617.0,41,41
10,E,717133,717136,16494.557665123466,601.5904503563806,63.496075721349925,103790.0,41,41
10,E,717136,716126,17272.352085003713,592.0169303564267,62.6718510844988,102104.5,41,41
10,E,716126,717146,17989.74513609826,379.28441035645176,55.68110630885123,106511.5,17,17
10,E,717146,774440,18757.303598825172,156.47743035660127,58.70680065685896,110859.0,17,17
10,E,774440,717152,19342.22860982776,128.2578103566611,67.77974101696513,96600.0,17,17
10,E,717152,717155,20039.195854531936,75.88175035640944,67.02177712347316,97355.5,17,17
10,E,717155,717156,20947.152918749547,-145.75636964362374,63.15250295471098,98053.0,17,17
10,E,717156,768173,21972.500734820347,-238.37460964351862,59.663242922205455,84447.5,17,17
10,E,768173,775552,23013.156378705506,-71.78422964331958,55.116312957779414,91974.0,17,17
10,E,775552,717165,23815.295777760504,59.796010356682245,42.610948460067405,93615.0,17,17
10,E,717165,775030,24213.0226534426,121.30031035643015,37.66831241083592,81850.0,17,17
10,E,775030,717174,25127.38871785914,265.57103035642615,54.1760503090366,82922.5,17,17
10,E,717174,764222,26321.53761112342,443.0151103565109,67.8820434311555,85063.0,17,17
10,E,764222,717179,27103.620067108604,542.8134903564701,67.8820434311555,85063.0,17,40
10,E,717179,763695,27822.67300314727,604.3177903566135,68.23312164964575,85051.5,17,40
10,E,763695,717185,28559.800241906065,616.8412903566337,68.67472778674556,68775.5,17,40
10,E,717185,717190,29041.07465975568,611.3866103565634,68.76525570535513,52511.0,17,40
10,E,717190,716152,29474.21241423759,605.931930356493,68.32364956825532,68787.0,17,40
10,E,716152,717195,30245.044538937756,596.3027503566796,67.8820434311555,85063.0,40,40
10,E,717195,717198,30778.605332515035,589.6235503569325,67.8820434311555,85063.0,40,24
10,E,717198,764217,31212.66524529866,583.667930356545,67.8820434311555,85063.0,40,24
10,E,764217,717205,32037.30530692369,570.587830356348,67.8820434311555,85063.0,24,24
10,E,717205,718118,32913.401801804655,560.5690303567274,67.8820434311555,85063.0,19,24
